Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
EFOSELM,reward_low_FN_rate,realTraffic/speed_7578.csv,0.90634765625,3.34242618091,4,840,2,112,1127
EFOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.90634765625,0.640541993324,1,3546,2,472,4730
EFOSELM,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.90634765625,-7.1846309122,1,8535,0,1034,10320
EFOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.90634765625,-1.93704834091,1,3026,0,401,4032
EFOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.90634765625,1.20202839536,3,3021,5,399,4032
EFOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.90634765625,-3.13759635579,1,3023,0,404,4032
EFOSELM,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.90634765625,-2.0,0,1218,0,163,1624
EFOSELM,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.90634765625,0.752098587352,2,1154,1,151,1538
EFOSELM,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.90634765625,-0.275861928587,2,3463,0,463,4621
EFOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.90634765625,0.0,0,3428,0,0,4032
EFOSELM,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.90634765625,1.72136672832,4,13553,0,1586,15893
EFOSELM,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.90634765625,-0.247360699368,7,13576,1,1519,15853
EFOSELM,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.90634765625,0.486135770971,6,13563,1,1582,15902
EFOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.90634765625,0.736537840284,4,3083,2,339,4032
EFOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.90634765625,0.86067182427,3,3025,0,400,4032
EFOSELM,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.90634765625,0.0,0,3428,0,0,4032
EFOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.90634765625,0.86067182427,3,3025,0,400,4032
EFOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.90634765625,-0.384744478449,3,3022,1,402,4032
EFOSELM,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.90634765625,-3.26796749125,2,13658,2,1430,15842
EFOSELM,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.90634765625,0.0,0,3428,0,0,4032
EFOSELM,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.90634765625,-4.11,0,1409,1,190,1882
EFOSELM,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.90634765625,1.60595613499,2,3025,1,400,4032
EFOSELM,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.90634765625,-1.31859985927,1,5789,2,725,7267
EFOSELM,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.90634765625,-8.0,0,13520,0,1588,15858
EFOSELM,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.90634765625,-0.267742303576,3,1232,0,162,1643
