Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
ELM_PYTORCH,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.575,-1.68514481014,4,15789,12,1495,18050
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.575,0.619056904813,7,3022,1,398,4032
ELM_PYTORCH,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.575,0.0,0,3428,0,0,4032
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.575,1.50256984665,2,3546,1,472,4730
ELM_PYTORCH,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.575,0.848243306042,3,1215,4,159,1624
ELM_PYTORCH,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.575,0.106283128728,2,1214,4,161,1624
ELM_PYTORCH,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.575,2.02901733581,8,13513,7,1580,15858
ELM_PYTORCH,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.575,2.00490734551,6,13556,3,1587,15902
ELM_PYTORCH,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.575,0.641272490375,1,1783,1,238,2380
ELM_PYTORCH,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.575,3.06053568859,17,13524,7,1568,15866
ELM_PYTORCH,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.575,-2.22,0,1409,1,190,1882
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.575,0.284138071413,2,3461,2,463,4621
ELM_PYTORCH,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.575,-1.57084005551,4,13495,6,1576,15831
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.575,1.49956648491,2,3025,1,400,4032
ELM_PYTORCH,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.575,-3.01262521139,2,13651,9,1430,15842
ELM_PYTORCH,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.575,0.955492147479,4,3025,0,399,4032
ELM_PYTORCH,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.575,0.0,0,3428,0,0,4032
ELM_PYTORCH,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.575,0.86067182427,1,3025,0,402,4032
ELM_PYTORCH,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.575,1.2960251845,4,1873,2,246,2500
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.575,-2.42,0,3417,11,0,4032
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.575,0.746822953776,7,3084,1,336,4032
ELM_PYTORCH,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.575,0.734840399955,1,3025,0,402,4032
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.575,-0.358449197924,1,3025,1,401,4032
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.575,-3.1,0,926,5,126,1243
ELM_PYTORCH,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.575,1.83102396005,4,13510,4,1583,15851
ELM_PYTORCH,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.575,0.0,0,3428,0,0,4032
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.575,-2.11844919792,1,3017,9,401,4032
ELM_PYTORCH,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.575,0.0,0,3428,0,0,4032
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.575,0.420541993324,1,3546,2,472,4730
ELM_PYTORCH,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.575,-0.247765207179,3,13492,9,1579,15833
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.575,-1.3635100428,1,3024,2,401,4032
ELM_PYTORCH,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.575,1.41861316149,7,13571,6,1519,15853
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.575,1.71595613499,2,3026,0,400,4032
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.575,0.20067182427,4,3022,3,399,4032
ELM_PYTORCH,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.575,1.08151953606,5,1868,3,245,2495
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.575,1.72310160415,4,3026,0,398,4032
ELM_PYTORCH,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.575,2.16028282005,10,13557,7,1578,15902
ELM_PYTORCH,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.575,0.0,0,3428,0,0,4032
ELM_PYTORCH,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.575,-1.76656346157,2,8533,2,1033,10320
ELM_PYTORCH,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.575,1.60471036268,4,1233,0,160,1643
ELM_PYTORCH,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.575,-1.0,0,1621,0,217,2162
ELM_PYTORCH,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.575,0.86067182427,4,3025,0,399,4032
ELM_PYTORCH,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.575,0.935869053843,6,3077,5,340,4032
ELM_PYTORCH,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.575,0.422098587352,1,1153,2,152,1538
ELM_PYTORCH,reward_low_FP_rate,realTraffic/speed_6005.csv,0.575,-0.257377998244,2,1881,5,237,2500
ELM_PYTORCH,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.575,-1.0,0,3025,0,403,4032
ELM_PYTORCH,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.575,0.0722576964242,2,1229,3,163,1643
ELM_PYTORCH,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.575,0.789314421668,1,3025,0,402,4032
ELM_PYTORCH,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.575,2.3507776045,4,1154,1,149,1538
ELM_PYTORCH,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.575,-0.758568782884,2,5788,3,724,7267
ELM_PYTORCH,reward_low_FP_rate,realTraffic/speed_7578.csv,0.575,2.02503253556,5,835,7,111,1127
ELM_PYTORCH,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.575,-2.01861605087,5,13536,17,1585,15893
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.575,0.729907505007,3,3023,0,402,4032
ELM_PYTORCH,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.575,-1.7348083231,1,4029,6,529,5315
ELM_PYTORCH,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.575,-2.66484927042,1,19674,3,2267,22695
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.575,0.875727409493,3,3025,0,400,4032
ELM_PYTORCH,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.575,-1.0,0,3025,0,403,4032
ELM_PYTORCH,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.575,0.340939195491,2,1875,1,247,2500
Totals,,,,8.45089273354,168,299168,179,33327,365558
