Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
ELM_PYTORCH,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.575,-0.365144810141,4,15789,12,1495,18050
ELM_PYTORCH,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.575,0.728608671685,7,3022,1,398,4032
ELM_PYTORCH,standard,artificialNoAnomaly/art_flatline.csv,0.575,0.0,0,3428,0,0,4032
ELM_PYTORCH,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.575,1.61256984665,2,3546,1,472,4730
ELM_PYTORCH,standard,realAdExchange/exchange-2_cpm_results.csv,0.575,1.28824330604,3,1215,4,159,1624
ELM_PYTORCH,standard,realAdExchange/exchange-2_cpc_results.csv,0.575,0.546282562631,2,1214,4,161,1624
ELM_PYTORCH,standard,realTweets/Twitter_volume_PFE.csv,0.575,2.79901522231,8,13513,7,1580,15858
ELM_PYTORCH,standard,realTweets/Twitter_volume_CRM.csv,0.575,2.33490734551,6,13556,3,1587,15902
ELM_PYTORCH,standard,realTraffic/occupancy_6005.csv,0.575,0.751272490375,1,1783,1,238,2380
ELM_PYTORCH,standard,realTweets/Twitter_volume_UPS.csv,0.575,3.79102094774,17,13524,7,1568,15866
ELM_PYTORCH,standard,realKnownCause/rogue_agent_key_hold.csv,0.575,-2.11,0,1409,1,190,1882
ELM_PYTORCH,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.575,0.504138071413,2,3461,2,463,4621
ELM_PYTORCH,standard,realTweets/Twitter_volume_AMZN.csv,0.575,-0.910844341557,4,13495,6,1576,15831
ELM_PYTORCH,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.575,1.60956648491,2,3025,1,400,4032
ELM_PYTORCH,standard,realTweets/Twitter_volume_GOOG.csv,0.575,-2.03029635132,2,13651,9,1430,15842
ELM_PYTORCH,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.575,0.955492147479,4,3025,0,399,4032
ELM_PYTORCH,standard,artificialNoAnomaly/art_noisy.csv,0.575,0.0,0,3428,0,0,4032
ELM_PYTORCH,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.575,0.86067182427,1,3025,0,402,4032
ELM_PYTORCH,standard,realTraffic/occupancy_t4013.csv,0.575,1.5160251845,4,1873,2,246,2500
ELM_PYTORCH,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.575,-1.21,0,3417,11,0,4032
