Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
ERELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.95078125,-1.59704593934,1,3023,3,401,4032
ERELM,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.95078125,0.0,0,3428,0,0,4032
ERELM,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.95078125,0.858204599199,6,13560,4,1582,15902
ERELM,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.95078125,0.0,0,3428,0,0,4032
ERELM,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.95078125,-1.48796749125,2,13658,2,1430,15842
ERELM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.95078125,-0.138449197924,1,3026,0,401,4032
ERELM,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.95078125,0.0635755595021,4,13556,3,1589,15902
ERELM,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.95078125,0.733231007118,2,1155,0,151,1538
ERELM,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.95078125,1.85963248045,6,13553,0,1584,15893
ERELM,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.95078125,-0.117744019031,5,13501,0,1575,15831
ERELM,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.95078125,-1.0,0,1218,0,163,1624
ERELM,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.95078125,0.512263690746,2,1231,1,163,1643
ERELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.95078125,-1.48129571365,1,3020,3,404,4032
ERELM,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.95078125,-1.0,0,3025,0,403,4032
ERELM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.95078125,-0.358449197924,1,3025,1,401,4032
ERELM,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.95078125,2.08489317445,12,13529,2,1573,15866
ERELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.95078125,0.0,0,3428,0,0,4032
ERELM,reward_low_FP_rate,realTraffic/speed_6005.csv,0.95078125,0.622622001756,2,1885,1,237,2500
ERELM,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.95078125,1.38471036268,5,1232,1,159,1643
ERELM,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.95078125,-0.599074364051,2,13508,6,1585,15851
ERELM,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.95078125,1.7360251845,4,1871,0,246,2495
ERELM,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.95078125,-2.0,0,931,0,126,1243
ERELM,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.95078125,0.116433666253,1,15798,3,1498,18050
ERELM,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.95078125,1.17608071182,3,1216,3,159,1624
ERELM,reward_low_FP_rate,realTraffic/speed_7578.csv,0.95078125,1.19595519821,3,840,2,113,1127
ERELM,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.95078125,1.41192617784,4,1873,2,246,2500
ERELM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.95078125,0.86067182427,3,3025,0,400,4032
ERELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.95078125,0.832102717505,3,3024,1,400,4032
ERELM,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.95078125,-1.32,0,3422,6,0,4032
ERELM,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.95078125,0.420541993324,1,3546,2,472,4730
ERELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.95078125,-1.44,0,3023,2,403,4032
ERELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.95078125,1.29196715984,3,3024,2,399,4032
ERELM,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.95078125,0.0836453763754,1,1780,4,238,2380
ERELM,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.95078125,-2.22,0,1409,1,190,1882
ERELM,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.95078125,-1.66,0,3022,3,403,4032
ERELM,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.95078125,0.642639300632,7,13576,1,1519,15853
ERELM,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.95078125,0.0,0,3428,0,0,4032
ERELM,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.95078125,1.27595613499,2,3024,2,400,4032
ERELM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.95078125,0.86067182427,2,3025,0,401,4032
ERELM,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.95078125,-4.0646309122,1,8531,4,1034,10320
ERELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.95078125,-0.138449197924,1,3026,0,401,4032
ERELM,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.95078125,-1.0,0,3025,0,403,4032
ERELM,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.95078125,-4.22,0,13519,1,1588,15858
ERELM,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.95078125,-1.0,0,3025,0,403,4032
ERELM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.95078125,-1.0,0,3025,0,403,4032
ERELM,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.95078125,0.0,0,3428,0,0,4032
ERELM,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.95078125,1.35540598673,5,3078,4,341,4032
ERELM,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.95078125,-0.976354905975,1,5787,4,725,7267
ERELM,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.95078125,-1.0,0,1621,0,217,2162
ERELM,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.95078125,-2.22,0,4034,1,530,5315
ERELM,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.95078125,0.724138071413,2,3463,0,463,4621
ERELM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.95078125,1.28256984665,2,3545,2,472,4730
ERELM,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.95078125,-2.95531643365,1,19676,1,2267,22695
ERELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.95078125,0.296537840284,4,3082,3,339,4032
ERELM,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.95078125,0.862098587352,1,1155,0,152,1538
ERELM,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.95078125,0.18048375117,2,13494,7,1580,15833
ERELM,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.95078125,0.505703754679,3,3022,1,402,4032
ERELM,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.95078125,-1.13598133079,1,1876,0,248,2500
Totals,,,,-10.9000707197,113,299258,89,33382,365558
