Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
FOSELM,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.503175354004,-4.33112639508,4,8534,1,1031,10320
FOSELM,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.503175354004,-2.25901711678,4,13496,18,1583,15851
FOSELM,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.503175354004,-4.44,0,1406,4,190,1882
FOSELM,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.503175354004,-3.13736269352,0,3014,11,403,4032
FOSELM,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.503175354004,-0.309638203793,11,13572,5,1515,15853
FOSELM,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.503175354004,0.0,0,3428,0,0,4032
FOSELM,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.503175354004,-0.595588452323,2,1152,3,151,1538
FOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.503175354004,0.239389449734,6,3541,7,467,4730
FOSELM,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.503175354004,0.197622417964,5,1229,4,159,1643
FOSELM,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.503175354004,0.752098587352,2,1154,1,151,1538
FOSELM,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.503175354004,0.281426980122,3,13486,15,1579,15833
FOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.503175354004,0.846537840284,5,3084,1,338,4032
FOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.503175354004,0.86067182427,7,3025,0,396,4032
FOSELM,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.503175354004,-0.276424440498,7,13559,0,1586,15902
FOSELM,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.503175354004,-0.88,0,3420,8,0,4032
FOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.503175354004,0.42067182427,4,3021,4,399,4032
FOSELM,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.503175354004,-4.0,0,931,0,126,1243
FOSELM,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.503175354004,-0.620667690269,3,1228,4,162,1643
FOSELM,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.503175354004,-3.98811480493,3,1868,8,246,2500
FOSELM,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.503175354004,-1.32,0,3416,12,0,4032
FOSELM,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.503175354004,-0.0441956450541,1,3016,9,402,4032
FOSELM,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.503175354004,-1.13844919792,2,3026,0,400,4032
FOSELM,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.503175354004,0.0717730842662,1,1776,8,238,2380
FOSELM,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.503175354004,1.30192617784,4,1870,5,246,2500
FOSELM,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.503175354004,1.7360251845,4,1871,0,246,2495
FOSELM,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.503175354004,0.851668124615,1,3025,0,402,4032
FOSELM,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.503175354004,-4.77,0,4028,7,530,5315
FOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.503175354004,-1.91997199307,6,3005,18,399,4032
FOSELM,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.503175354004,-2.11,0,1620,1,217,2162
FOSELM,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.503175354004,1.18979509532,2,3019,7,400,4032
FOSELM,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.503175354004,-2.82774435526,0,3017,8,403,4032
FOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.503175354004,0.84256984665,2,3539,8,472,4730
FOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.503175354004,-1.93704834091,1,3026,0,401,4032
FOSELM,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.503175354004,-8.0,0,19677,0,2268,22695
FOSELM,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.503175354004,-0.321795685168,2,3460,3,463,4621
FOSELM,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.503175354004,2.31077699427,27,13506,25,1558,15866
FOSELM,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.503175354004,-2.66774401903,7,13496,5,1573,15831
FOSELM,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.503175354004,0.61437163414,5,3022,3,398,4032
FOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.503175354004,1.72310160415,3,3026,0,399,4032
FOSELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.503175354004,-1.35844919792,5,3024,2,397,4032
FOSELM,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.503175354004,0.0,0,3428,0,0,4032
