Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
LSTM,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.575,1.28136672832,4,13549,4,1586,15893
LSTM,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.575,1.72048222172,2,13501,0,1580,15833
LSTM,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.575,-4.55,0,926,5,126,1243
LSTM,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.575,-0.275861928587,2,3463,0,463,4621
LSTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.575,-2.0,0,3025,0,403,4032
LSTM,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.575,-0.377732316045,2,1231,1,163,1643
LSTM,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.575,1.61256984665,2,3546,1,472,4730
LSTM,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.575,-0.37318244302,2,1154,1,151,1538
LSTM,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.575,-2.0,0,3025,0,403,4032
LSTM,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.575,-1.13844919792,1,3026,0,401,4032
LSTM,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.575,0.666433666253,1,15800,1,1498,18050
LSTM,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.575,0.86067182427,3,3025,0,400,4032
LSTM,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.575,-0.276424440498,4,13559,0,1589,15902
LSTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.575,0.846537840284,4,3084,1,339,4032
LSTM,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.575,-2.0,0,3025,0,403,4032
LSTM,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.575,-2.2199994339,0,1216,2,163,1624
LSTM,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.575,-4.11,0,4034,1,530,5315
LSTM,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.575,-1.24844919792,1,3025,1,401,4032
LSTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.575,-1.93704834091,1,3026,0,401,4032
LSTM,reward_low_FN_rate,realTraffic/speed_7578.csv,0.575,0.305955198213,3,839,3,113,1127
LSTM,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.575,-0.301568043324,8,13576,1,1518,15853
LSTM,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.575,-2.0,0,3025,0,403,4032
LSTM,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.575,-3.04796749125,2,13660,0,1430,15842
LSTM,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.575,0.0,0,3428,0,0,4032
LSTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.575,1.72310160415,3,3026,0,399,4032
LSTM,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.575,-0.279074364051,2,13514,0,1585,15851
LSTM,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.575,1.37536426678,11,13530,1,1574,15866
LSTM,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.575,-4.22,0,1408,2,190,1882
LSTM,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.575,0.0,0,3428,0,0,4032
LSTM,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.575,0.604710362685,4,1233,0,160,1643
LSTM,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.575,0.641272490375,1,1782,2,238,2380
LSTM,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.575,0.952939636076,1,1621,0,216,2162
LSTM,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.575,0.862098587352,1,1155,0,152,1538
LSTM,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.575,-3.22270048908,1,1875,1,248,2500
LSTM,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.575,3.34140910906,5,13519,1,1583,15858
LSTM,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.575,-1.31859985927,1,5789,2,725,7267
LSTM,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.575,0.0,0,3428,0,0,4032
LSTM,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.575,0.0,0,3428,0,0,4032
LSTM,reward_low_FN_rate,realTraffic/speed_6005.csv,0.575,0.402622001756,2,1882,4,237,2500
LSTM,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.575,1.39824330604,3,1216,3,159,1624
LSTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.575,-1.13844919792,1,3026,0,401,4032
LSTM,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.575,-2.0,0,3025,0,403,4032
LSTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.575,-0.270092494993,3,3023,0,402,4032
LSTM,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.575,0.0,0,3428,0,0,4032
LSTM,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.575,-2.0,0,3025,0,403,4032
LSTM,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.575,1.71595613499,2,3026,0,400,4032
LSTM,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.575,0.587367517203,6,13564,0,1582,15902
LSTM,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.575,1.7360251845,4,1871,0,246,2495
LSTM,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.575,1.70586905384,5,3079,3,341,4032
LSTM,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.575,-0.384744478449,3,3022,1,402,4032
LSTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.575,0.86067182427,2,3025,0,401,4032
LSTM,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.575,-8.0,0,19677,0,2268,22695
LSTM,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.575,0.640541993324,1,3546,2,472,4730
LSTM,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.575,-7.1846309122,1,8535,0,1034,10320
LSTM,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.575,0.86067182427,2,3025,0,401,4032
LSTM,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.575,-2.2508486276,4,13501,0,1576,15831
LSTM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.575,0.0,0,3428,0,0,4032
LSTM,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.575,1.6260251845,3,1874,1,247,2500
Totals,,,,-31.7969158501,114,299302,45,33381,365558
