Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
LSTM,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.575,0.84136672832,4,13549,4,1586,15893
LSTM,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.575,1.72048222172,2,13501,0,1580,15833
LSTM,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.575,-3.1,0,926,5,126,1243
LSTM,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.575,0.724138071413,2,3463,0,463,4621
LSTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.575,-1.0,0,3025,0,403,4032
LSTM,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.575,0.512277671486,2,1231,1,163,1643
LSTM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.575,1.50256984665,2,3546,1,472,4730
LSTM,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.575,0.520404106842,2,1154,1,151,1538
LSTM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.575,-1.0,0,3025,0,403,4032
LSTM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.575,-0.138449197924,1,3026,0,401,4032
LSTM,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.575,0.556433666253,1,15800,1,1498,18050
LSTM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.575,0.86067182427,3,3025,0,400,4032
LSTM,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.575,0.723575559502,4,13559,0,1589,15902
LSTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.575,0.736537840284,4,3084,1,339,4032
LSTM,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.575,-1.0,0,3025,0,403,4032
LSTM,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.575,-1.43999886781,0,1216,2,163,1624
LSTM,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.575,-2.22,0,4034,1,530,5315
LSTM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.575,-0.358449197924,1,3025,1,401,4032
LSTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.575,-0.937048340915,1,3026,0,401,4032
LSTM,reward_low_FP_rate,realTraffic/speed_7578.csv,0.575,0.975955198213,3,839,3,113,1127
LSTM,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.575,0.588431956676,8,13576,1,1518,15853
LSTM,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.575,-1.0,0,3025,0,403,4032
