Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
RELM,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.824998474121,1.50403612212,8,13563,1,1580,15902
RELM,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.824998474121,-1.35598133079,1,1875,1,248,2500
RELM,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.824998474121,0.200541993324,1,3545,3,472,4730
RELM,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.824998474121,-1.0,0,1621,0,217,2162
RELM,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.824998474121,1.38471036268,4,1232,1,160,1643
RELM,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.824998474121,0.641215692581,8,13576,1,1518,15853
RELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.824998474121,0.86067182427,2,3025,0,401,4032
RELM,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.824998474121,-2.0,0,931,0,126,1243
RELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.824998474121,0.686425285661,4,3023,0,401,4032
RELM,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.824998474121,-4.0,0,19677,0,2268,22695
RELM,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.824998474121,0.499462906011,16,13521,10,1569,15866
RELM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.824998474121,1.50256984665,2,3546,1,472,4730
RELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.824998474121,-0.22,0,3427,1,0,4032
RELM,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.824998474121,2.83413188968,7,13497,4,1573,15831
RELM,reward_low_FP_rate,realTraffic/speed_6005.csv,0.824998474121,0.622622001756,2,1885,1,237,2500
RELM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.824998474121,0.64067182427,4,3024,1,399,4032
RELM,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.824998474121,0.505703754679,4,3022,1,401,4032
RELM,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.824998474121,-0.207560193447,5,13492,9,1577,15833
RELM,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.824998474121,0.270726145244,4,13514,6,1584,15858
RELM,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.824998474121,1.7360251845,3,1875,0,247,2500
RELM,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.824998474121,0.0,0,3428,0,0,4032
RELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.824998474121,-1.01844919792,2,3022,4,400,4032
RELM,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.824998474121,-1.0,0,3025,0,403,4032
RELM,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.824998474121,0.556433666253,1,15800,1,1498,18050
RELM,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.824998474121,0.861272490375,1,1784,0,238,2380
RELM,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.824998474121,1.50824330604,3,1218,1,159,1624
RELM,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.824998474121,0.0,0,3428,0,0,4032
RELM,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.824998474121,0.733231007118,2,1155,0,151,1538
RELM,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.824998474121,0.0780037567092,1,3021,4,402,4032
RELM,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.824998474121,-1.53103378081,5,13538,15,1585,15893
RELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.824998474121,1.72310160415,3,3026,0,399,4032
RELM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.824998474121,-0.138449197924,1,3026,0,401,4032
RELM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.824998474121,-0.138449197924,1,3026,0,401,4032
RELM,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.824998474121,0.482422193251,4,13658,2,1428,15842
RELM,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.824998474121,-1.0,0,1218,0,163,1624
RELM,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.824998474121,-1.6599315764,0,3022,3,403,4032
RELM,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.824998474121,-0.140143531075,3,13501,13,1584,15851
RELM,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.824998474121,-2.65999836028,0,1407,3,190,1882
RELM,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.824998474121,0.862098587352,1,1155,0,152,1538
RELM,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.824998474121,1.37586905384,5,3079,3,341,4032
RELM,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.824998474121,0.512264910219,3,1231,1,162,1643
RELM,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.824998474121,0.0,0,3428,0,0,4032
RELM,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.824998474121,-3.1846309122,1,8535,0,1034,10320
RELM,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.824998474121,0.0,0,3428,0,0,4032
RELM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.824998474121,0.736537840284,4,3084,1,339,4032
RELM,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.824998474121,1.71595613499,2,3026,0,400,4032
RELM,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.824998474121,-3.1,0,4030,5,530,5315
RELM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.824998474121,0.86067182427,2,3025,0,401,4032
RELM,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.824998474121,-0.538599859273,1,5789,2,725,7267
RELM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.824998474121,-1.0,0,3025,0,403,4032
RELM,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.824998474121,0.724138071413,2,3463,0,463,4621
RELM,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.824998474121,0.724916432431,6,13550,9,1587,15902
