Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
RELM,standard,realTweets/Twitter_volume_AAPL.csv,0.59072265625,1.13802284053,10,13558,6,1578,15902
RELM,standard,realTraffic/TravelTime_387.csv,0.59072265625,-1.35598133079,2,1874,2,247,2500
RELM,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.59072265625,0.530541993324,1,3545,3,472,4730
RELM,standard,realTraffic/TravelTime_451.csv,0.59072265625,0.503164561375,1,1620,1,216,2162
RELM,standard,realAdExchange/exchange-4_cpm_results.csv,0.59072265625,1.38471036268,6,1231,2,158,1643
RELM,standard,realTweets/Twitter_volume_CVS.csv,0.59072265625,0.752639300632,6,13576,1,1520,15853
RELM,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.59072265625,0.86067182427,2,3025,0,401,4032
RELM,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.59072265625,-2.0,0,931,0,126,1243
RELM,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.59072265625,-1.46759635579,1,3020,3,404,4032
RELM,standard,realKnownCause/machine_temperature_system_failure.csv,0.59072265625,-4.0,0,19677,0,2268,22695
RELM,standard,realTweets/Twitter_volume_UPS.csv,0.59072265625,3.89449836577,19,13526,5,1566,15866
RELM,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.59072265625,1.50256984665,2,3545,2,472,4730
RELM,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.59072265625,-0.22,0,3426,2,0,4032
RELM,standard,realTweets/Twitter_volume_AMZN.csv,0.59072265625,-0.117744019031,7,13501,0,1573,15831
RELM,standard,realTraffic/speed_6005.csv,0.59072265625,0.732622001756,2,1885,1,237,2500
RELM,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.59072265625,0.86067182427,4,3025,0,399,4032
RELM,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.59072265625,0.505261019323,3,3021,2,402,4032
RELM,standard,realTweets/Twitter_volume_FB.csv,0.59072265625,1.03756585367,2,13494,7,1580,15833
RELM,standard,realTweets/Twitter_volume_PFE.csv,0.59072265625,0.888542347664,5,13514,6,1583,15858
RELM,standard,realTraffic/occupancy_t4013.csv,0.59072265625,1.52192617784,4,1872,3,246,2500
RELM,standard,artificialNoAnomaly/art_flatline.csv,0.59072265625,0.0,0,3428,0,0,4032
RELM,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.59072265625,-0.358449197924,1,3024,2,401,4032
RELM,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.59072265625,-1.0,0,3025,0,403,4032
RELM,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.59072265625,-0.218131679575,7,15790,11,1492,18050
RELM,standard,realTraffic/occupancy_6005.csv,0.59072265625,0.509349135873,3,1779,5,236,2380
RELM,standard,realAdExchange/exchange-2_cpm_results.csv,0.59072265625,1.56176135576,5,1216,3,157,1624
RELM,standard,artificialNoAnomaly/art_noisy.csv,0.59072265625,-0.33,0,3425,3,0,4032
RELM,standard,realAdExchange/exchange-3_cpc_results.csv,0.59072265625,0.623231678364,3,1154,1,150,1538
RELM,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.59072265625,0.61318619737,1,3022,3,402,4032
RELM,standard,realTweets/Twitter_volume_IBM.csv,0.59072265625,0.319632480455,5,13539,14,1585,15893
RELM,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.59072265625,1.72310160415,4,3026,0,398,4032
RELM,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.59072265625,-0.138449197924,2,3026,0,400,4032
RELM,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.59072265625,-0.138449197924,2,3026,0,400,4032
RELM,standard,realTweets/Twitter_volume_GOOG.csv,0.59072265625,0.235177527386,3,13656,4,1429,15842
RELM,standard,realAdExchange/exchange-2_cpc_results.csv,0.59072265625,-1.50684171674,0,1213,5,163,1624
RELM,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.59072265625,0.729972185537,1,3023,2,402,4032
RELM,standard,realTweets/Twitter_volume_KO.csv,0.59072265625,0.280925635949,2,13510,4,1585,15851
RELM,standard,realKnownCause/rogue_agent_key_hold.csv,0.59072265625,-0.433794695493,2,1407,3,188,1882
RELM,standard,realAdExchange/exchange-3_cpm_results.csv,0.59072265625,0.752098587352,2,1154,1,151,1538
RELM,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.59072265625,1.70586905384,6,3079,3,340,4032
RELM,standard,realAdExchange/exchange-4_cpc_results.csv,0.59072265625,0.622257696424,4,1231,1,161,1643
RELM,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.59072265625,0.0,0,3428,0,0,4032
RELM,standard,realKnownCause/nyc_taxi.csv,0.59072265625,-0.104108613221,3,8530,5,1032,10320
RELM,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.59072265625,-1.32,0,3416,12,0,4032
RELM,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.59072265625,0.846537840284,4,3084,1,339,4032
RELM,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.59072265625,1.05595613499,2,3020,6,400,4032
RELM,standard,realKnownCause/rogue_agent_key_updown.csv,0.59072265625,-2.22,0,4033,2,530,5315
RELM,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.59072265625,0.64067182427,3,3023,2,400,4032
RELM,standard,realKnownCause/ambient_temperature_system_failure.csv,0.59072265625,-0.318599859273,1,5789,2,725,7267
RELM,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.59072265625,-1.97422383177,0,3016,9,403,4032
RELM,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.59072265625,0.099400793231,3,3455,8,462,4621
RELM,standard,realTweets/Twitter_volume_CRM.csv,0.59072265625,0.283575559502,5,13555,4,1588,15902
RELM,standard,artificialWithAnomaly/art_daily_nojump.csv,0.59072265625,-1.0,0,3025,0,403,4032
RELM,standard,realTraffic/speed_t4013.csv,0.59072265625,1.75691291901,6,1871,0,244,2495
RELM,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.59072265625,-0.44,0,3424,4,0,4032
RELM,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.59072265625,-0.937048340915,1,3026,0,401,4032
RELM,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.59072265625,0.938843922825,1,3025,0,402,4032
RELM,standard,realTraffic/speed_7578.csv,0.59072265625,3.41058413193,5,840,2,111,1127
Totals,,,,13.2230365479,164,299179,168,33331,365558
