Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
random,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.998449707031,-5.74591851406,0,13537,16,1590,15893
random,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.998449707031,0.56152002278,1,1214,4,162,1624
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.998449707031,-2.74479208215,1,3019,7,401,4032
random,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.998449707031,-1.66537696871,2,3020,6,400,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.998449707031,-1.81226365722,1,3019,7,401,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.998449707031,-3.68276138557,2,3017,6,403,4032
random,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.998449707031,-1.85931943528,1,1865,6,249,2495
random,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.998449707031,-1.40326952212,4,13502,12,1583,15851
random,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.998449707031,-0.88,0,3420,8,0,4032
random,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.998449707031,-0.88,0,3420,8,0,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.998449707031,1.15989908279,3,13546,13,1590,15902
random,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.998449707031,-6.26686312221,2,13517,14,1583,15866
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.998449707031,-0.13797169063,1,3018,7,402,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.998449707031,-2.36765725231,1,3019,7,401,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.998449707031,-0.88,0,3420,8,0,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.998449707031,-7.73673094421,0,13644,16,1432,15842
random,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.998449707031,-4.87325110157,0,3539,8,474,4730
random,reward_low_FN_rate,realTraffic/speed_6005.csv,0.998449707031,0.154522258117,2,1881,5,237,2500
random,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.998449707031,-0.88,0,3420,8,0,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.998449707031,-4.40317731426,2,13550,14,1586,15902
random,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.998449707031,-1.72885435742,3,13488,13,1577,15831
random,reward_low_FN_rate,realTraffic/speed_7578.csv,0.998449707031,-8.54957611837,0,837,5,116,1127
random,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.998449707031,-3.87,0,15784,17,1499,18050
random,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.998449707031,-2.44,0,1151,4,153,1538
random,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.998449707031,-4.39395857548,1,1228,4,164,1643
random,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.998449707031,0.154255134012,1,3018,7,402,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.998449707031,-2.83076872619,0,3017,8,403,4032
random,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.998449707031,-1.85931943528,1,1869,6,249,2500
random,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.998449707031,0.194077430916,1,3018,7,402,4032
random,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.998449707031,0.340110064668,2,5784,7,724,7267
random,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.998449707031,-4.87841372093,0,3018,8,402,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.998449707031,-2.78473754188,1,13486,15,1581,15833
random,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.998449707031,-6.43926634239,0,1151,4,153,1538
random,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.998449707031,-1.52367644639,1,1407,3,189,1882
random,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.998449707031,-2.54410543003,0,1779,5,239,2380
random,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.998449707031,-4.8786663209,0,3018,8,402,4032
random,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.998449707031,-4.52907546762,1,1870,6,248,2500
random,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.998449707031,-0.88,0,3420,8,0,4032
random,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.998449707031,0.196320867705,1,3018,7,402,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.998449707031,-1.65559017409,3,13564,13,1523,15853
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.998449707031,0.233789737881,1,3078,7,342,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.998449707031,-6.8354823842,0,3015,8,405,4032
random,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.998449707031,-3.84646847336,1,3456,7,464,4621
random,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.998449707031,-4.54851625551,0,1214,5,162,1624
random,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.998449707031,-11.0796143013,0,8525,10,1035,10320
random,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.998449707031,-1.63928178412,1,927,4,125,1243
random,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.998449707031,0.43655640032,2,3542,6,471,4730
random,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.998449707031,0.0741304489476,1,3018,7,402,4032
random,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.998449707031,0.196320867705,1,3018,7,402,4032
random,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.998449707031,-0.88,0,3420,8,0,4032
random,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.998449707031,1.14652724293,3,4030,5,527,5315
random,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.998449707031,-3.81478254196,1,3075,7,345,4032
random,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.998449707031,2.03477845805,7,19661,16,2261,22695
random,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.998449707031,0.196320867705,1,3018,7,402,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.998449707031,-4.36862370983,2,13506,14,1586,15858
random,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.998449707031,-8.54690600205,0,1228,5,164,1643
random,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.998449707031,0.529477425046,1,1617,4,216,2162
random,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.998449707031,0.00613336315483,1,3018,7,402,4032
Totals,,,,-141.950297427,62,298878,469,33433,365558
